State,City,Vehicle_Count,Vehicle_Class,Vehicle_Type,Fuel_Type,Region,Concentration_Type,Concentration_Description
California,Rochester,17,6,Medium Duty,CNG,West,1,Substantially Concentrated
Colorado,Cleveland,81,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
North Carolina,Athens,48,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Brockton,85,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Illinois,Bakersfield,73,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Glendale,87,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Tacoma,52,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Michigan,Fort Lauderdale,116,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Georgia,Dearborn,145,8,Heavy Duty,EV,South,1,Substantially Concentrated
Colorado,Newton,115,6,Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,Sandy Springs,121,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Sterling Heights,13,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Ann Arbor,29,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Dallas,135,8,Heavy Duty,CNG,South,1,Substantially Concentrated
California,Bakersfield,103,6,Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Newton,96,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Cary,137,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Ohio,Warren,61,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Denver,64,6,Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Aurora,132,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Brockton,35,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
New York,Cary,69,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Colorado,Memphis,78,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Troy,136,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Spokane,51,8,Heavy Duty,EV,South,1,Substantially Concentrated
Massachusetts,Akron,36,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Jackson,35,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Colorado,Augusta,39,8,Heavy Duty,EV,West,1,Substantially Concentrated
Illinois,Cary,45,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Johnson City,8,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
